date,no. tweets,Select,no_tweets
2021-04-18,501.0,high-credibility,
2021-04-19,217.0,high-credibility,
2021-04-20,603.0,high-credibility,
2021-04-21,483.0,high-credibility,
2021-04-22,435.0,high-credibility,
2021-04-23,505.0,high-credibility,
2021-04-24,412.0,high-credibility,
2021-04-25,0.0,high-credibility,
2021-04-26,198.0,high-credibility,
2021-04-27,226.0,high-credibility,
2021-04-28,197.0,high-credibility,
2021-04-29,231.0,high-credibility,
2021-04-30,82.0,high-credibility,
2021-05-01,423.0,high-credibility,
2021-05-02,290.0,high-credibility,
2021-05-03,426.0,high-credibility,
2021-05-04,477.0,high-credibility,
2021-05-05,577.0,high-credibility,
2021-05-06,701.0,high-credibility,
2021-05-07,718.0,high-credibility,
2021-05-08,516.0,high-credibility,
2021-05-09,408.0,high-credibility,
2021-05-10,613.0,high-credibility,
2021-05-11,530.0,high-credibility,
2021-05-12,488.0,high-credibility,
2021-05-13,611.0,high-credibility,
2021-05-14,587.0,high-credibility,
2021-05-15,454.0,high-credibility,
2021-05-16,358.0,high-credibility,
2021-05-17,451.0,high-credibility,
2021-05-18,532.0,high-credibility,
2021-05-19,423.0,high-credibility,
2021-05-20,440.0,high-credibility,
2021-05-21,411.0,high-credibility,
2021-05-22,361.0,high-credibility,
2021-05-23,266.0,high-credibility,
2021-05-24,264.0,high-credibility,
2021-05-25,288.0,high-credibility,
2021-05-26,321.0,high-credibility,
2021-05-27,327.0,high-credibility,
2021-05-28,383.0,high-credibility,
2021-05-29,304.0,high-credibility,
2021-05-30,289.0,high-credibility,
2021-05-31,352.0,high-credibility,
2021-06-01,380.0,high-credibility,
2021-06-02,383.0,high-credibility,
2021-06-03,112.0,high-credibility,
2021-06-04,88.0,high-credibility,
2021-06-05,308.0,high-credibility,
2021-06-06,316.0,high-credibility,
2021-06-07,429.0,high-credibility,
2021-06-08,343.0,high-credibility,
2021-06-09,131.0,high-credibility,
2021-06-10,613.0,high-credibility,
2021-01-01,8.0,fact-checking,
2021-01-02,17.0,fact-checking,
2021-01-03,9.0,fact-checking,
2021-01-04,25.0,fact-checking,
2021-01-05,26.0,fact-checking,
2021-01-06,19.0,fact-checking,
2021-01-07,9.0,fact-checking,
2021-01-08,14.0,fact-checking,
2021-01-09,12.0,fact-checking,
2021-01-10,6.0,fact-checking,
2021-01-11,5.0,fact-checking,
2021-01-12,11.0,fact-checking,
2021-01-13,11.0,fact-checking,
2021-01-14,13.0,fact-checking,
2021-01-15,14.0,fact-checking,
2021-01-16,8.0,fact-checking,
2021-01-17,5.0,fact-checking,
2021-01-18,14.0,fact-checking,
2021-01-19,8.0,fact-checking,
2021-01-20,9.0,fact-checking,
2021-01-21,6.0,fact-checking,
2021-01-22,17.0,fact-checking,
2021-01-23,5.0,fact-checking,
2021-01-24,6.0,fact-checking,
2021-01-25,7.0,fact-checking,
2021-01-26,2.0,fact-checking,
2021-01-27,2.0,fact-checking,
2021-01-28,6.0,fact-checking,
2021-01-29,6.0,fact-checking,
2021-01-30,7.0,fact-checking,
2021-01-31,4.0,fact-checking,
2021-02-01,5.0,fact-checking,
2021-02-02,7.0,fact-checking,
2021-02-03,5.0,fact-checking,
2021-02-04,9.0,fact-checking,
2021-02-05,14.0,fact-checking,
2021-02-06,6.0,fact-checking,
2021-02-07,2.0,fact-checking,
2021-02-08,0.0,fact-checking,
2021-02-09,5.0,fact-checking,
2021-02-10,8.0,fact-checking,
2021-02-11,6.0,fact-checking,
2021-02-12,6.0,fact-checking,
2021-02-13,7.0,fact-checking,
2021-02-14,2.0,fact-checking,
2021-02-15,8.0,fact-checking,
2021-02-16,7.0,fact-checking,
2021-02-17,5.0,fact-checking,
2021-02-18,10.0,fact-checking,
2021-02-19,7.0,fact-checking,
2021-02-20,5.0,fact-checking,
2021-02-21,7.0,fact-checking,
2021-02-22,9.0,fact-checking,
2021-02-23,9.0,fact-checking,
2021-02-24,10.0,fact-checking,
2021-02-25,3.0,fact-checking,
2021-02-26,5.0,fact-checking,
2021-02-27,7.0,fact-checking,
2021-02-28,8.0,fact-checking,
2021-03-01,7.0,fact-checking,
2021-03-02,10.0,fact-checking,
2021-03-03,5.0,fact-checking,
2021-03-04,4.0,fact-checking,
2021-03-05,10.0,fact-checking,
2021-03-06,7.0,fact-checking,
2021-03-07,4.0,fact-checking,
2021-03-08,12.0,fact-checking,
2021-03-09,8.0,fact-checking,
